date,open,high,low,close,volume
2024-06-20,148.04,148.3233,147.23,147.72,207091
2024-06-21,147.12,147.425,146.83,147.23,99070
2024-06-24,147.49,148.22,147.21,147.27,168223
2024-06-25,147.56,147.88,147.24,147.78,102923
2024-06-26,147.25,147.815,147.07,147.7,258452
2024-06-27,147.72,148.05,147.44,147.74,260392
2024-06-28,148.09,148.86,147.2,147.49,135054
2024-07-01,148.04,148.1,147.14,147.81,283431
2024-07-02,147.43,148.58,147.4,148.58,155000
2024-07-03,149.13,149.62,148.95,149.59,88814
2024-07-05,150.05,150.52,149.4738,150.5,155655
2024-07-08,150.68,150.76,150.15,150.34,105601
2024-07-09,150.39,150.61,150.16,150.43,61667
2024-07-10,150.92,152.02,150.76,152.02,96286
2024-07-11,152.28,152.55,151.04,151.27,429215
2024-07-12,151.75,153.34,151.651,152.4,732817
2024-07-15,152.86,153.3,152.14,152.41,118816
2024-07-16,152.57,153.42,152.47,153.3,691556
2024-07-17,151.94,152.39,151.44,151.6,326899
2024-07-18,151.91,151.99,149.71,150.24,79237
2024-07-19,150.05,150.31,149.0402,149.18,193250
2024-07-22,150.37,150.91,149.9842,150.77,195062
2024-07-23,150.62,151.05,150.23,150.29,241549
2024-07-24,149.28,149.28,147.15,147.23,297689
2024-07-25,146.91,148.58,146.11,146.5,314909
2024-07-26,147.63,148.765,147.38,148.13,65598
2024-07-29,148.62,148.7,147.65,148.08,499720
2024-07-30,148.62,148.8324,146.92,147.66,45764
2024-07-31,149.93,150.7,149.36,149.97,444180
2024-08-01,149.88,150.377,146.4,147.31,300350
2024-08-02,145.31,145.6,143.38,144.62,371985
2024-08-05,138.72,141.96,138.39,140.68,545885
2024-08-06,140.83,143.395,140.3,141.76,623915
2024-08-07,143.84,144.37,141.15,141.18,156941
2024-08-08,142.73,144.43,142.16,144.18,139114
2024-08-09,144.12,145.25,143.845,145.03,80233
2024-08-12,145.17,145.57,144.4374,144.9,144769
2024-08-13,145.96,147.48,145.94,147.42,166383
2024-08-14,147.54,148.2,147.16,147.87,253804
2024-08-15,149.4,150.395,149.345,150.09,222149
2024-08-16,149.94,150.9,149.94,150.71,122034
2024-08-19,151.08,152.29,151.06,152.22,128569
2024-08-20,152.22,152.58,151.72,152,159169
2024-08-21,152.51,153.11,152.15,152.87,213878
2024-08-22,153.3,153.44,151.42,151.49,383900
2024-08-23,152.84,153.89,152.54,153.8,218672
2024-08-26,153.93,154,153.002,153.36,103455
2024-08-27,153.2,153.85,152.96,153.59,127596
2024-08-28,153.52,153.61,152.04,152.86,74718
2024-08-29,153.52,154.29,152.85,152.96,253417
2024-08-30,153.51,154.27,152.67,154.18,266225
2024-09-03,153.26,153.3,150.494,151.01,243237
2024-09-04,150.38,151.525,150.3,150.72,387470
2024-09-05,150.78,151.32,149.77,150.19,284264
2024-09-06,150.3,150.65,147.48,147.75,207036
2024-09-09,149.05,149.8399,148.61,149.33,363668
2024-09-10,149.71,149.88,148.37,149.74,214867
2024-09-11,149.72,151.3,147.55,151.21,274323
2024-09-12,151.24,152.485,150.7,152.36,261677
2024-09-13,152.64,153.38,152.45,153.14,186909
2024-09-16,153.24,153.695,152.79,153.67,194281
2024-09-17,154.1,154.35,152.9,153.42,556583
2024-09-18,153.79,154.95,152.86,153.01,574132
2024-09-19,155.68,156.16,154.8,155.66,156573
2024-09-20,155.12,155.38,154.455,155.11,301726
2024-09-23,155.51,155.8,155.2125,155.58,147125
2024-09-24,155.97,156.33,155.25,156.07,372737
2024-09-25,156.3,156.4165,155.46,155.68,326091
2024-09-26,157.31,157.3461,156.44,157.1,197389
2024-09-27,157.11,157.385,156.37,156.62,141939
2024-09-30,156.43,157.03,155.5574,156.91,370053
2024-10-01,156.8,156.8,154.83,155.61,201660
2024-10-02,155.36,155.9,154.68,155.63,123667
2024-10-03,154.96,155.556,154.38,155.04,191970
2024-10-04,155.98,156.42,155.14,156.34,151544
2024-10-07,155.86,156.08,154.77,155,148150
2024-10-08,155.52,156.18,155.24,156.07,131078
2024-10-09,155.81,157,155.67,156.9,204806
2024-10-10,156.4,156.85,156.04,156.64,110493
2024-10-11,156.53,157.71,156.53,157.54,156956
2024-10-14,157.73,158.745,157.64,158.54,98887
2024-10-15,158.49,158.51,156.75,156.97,146230
2024-10-16,157.21,157.72,156.95,157.61,121618
2024-10-17,158.53,158.53,157.25,157.7,168783
2024-10-18,158.33,158.55,157.875,158.4,106915
2024-10-21,158.07,158.2326,157.06,157.71,159950
2024-10-22,156.96,157.6343,156.85,157.46,114709
2024-10-23,156.67,156.76,155.08,155.89,801727
2024-10-24,156.62,156.64,155.73,156.4,217230
2024-10-25,157.09,157.57,156.01,156.15,282377
2024-10-28,157.08,157.17,156.81,156.84,54395
2024-10-29,156.61,157.2,156.23,156.84,110265
2024-10-30,156.45,157.1,156.18,156.27,116408
2024-10-31,155.22,155.22,153.7,153.73,360382
2024-11-01,154.61,155.44,154.27,154.35,222171
2024-11-04,154.64,154.99,153.82,154.14,238847
2024-11-05,154.46,156,154.46,155.96,261095
2024-11-06,158.01,158.51,156.89,158.36,298458
2024-11-07,159.29,160.17,159.2,159.91,146873
2024-11-08,159.64,160.2,159.48,159.88,169344
2024-11-11,160.41,160.53,159.86,160.25,131589
2024-11-12,159.88,160.01,158.49,159.18,118148
2024-11-13,159.07,159.52,158.43,158.97,187990
2024-11-14,159.34,159.45,158.2,158.31,167689
2024-11-15,157.56,157.56,156.15,156.66,329463
2024-11-18,156.76,157.64,156.53,157.39,310994
2024-11-19,156.27,158.06,156.225,157.85,579923
2024-11-20,157.7,157.85,156.4229,157.76,347455
2024-11-21,158.38,158.9,157.3001,158.57,288846
2024-11-22,158.53,159.3494,158.53,159.26,171079
2024-11-25,160.27,160.57,159.26,159.76,541184
2024-11-26,159.87,160.21,159.55,160.05,102327
2024-11-27,160.1,160.38,159.585,159.85,237914
2024-11-29,160.19,161.28,160.07,161.14,191642
2024-12-02,161.33,161.67,161.02,161.55,224154
2024-12-03,161.66,161.86,161.3975,161.72,194375
2024-12-04,162.04,162.75,162.04,162.66,222257
2024-12-05,162.88,163.05,162.54,162.67,274342
2024-12-06,162.79,163.18,162.615,162.95,259620
2024-12-09,163.11,163.14,161.95,162.02,352828
2024-12-10,162.11,162.11,161.18,161.33,161638
2024-12-11,162.17,162.76,161.97,162.59,299760
2024-12-12,162.18,162.32,161.44,161.54,328030
2024-12-13,162.09,162.35,160.96,161.35,272665
2024-12-16,161.63,162.0184,161.41,161.7,369501
2024-12-17,160.08,160.19,159.65,160,345270
2024-12-18,159.91,160.345,155.09,155.38,356063
2024-12-19,156.24,156.71,155.05,155.16,410050
2024-12-20,154.09,157.645,153.99,156.36,349867
2024-12-23,156.47,157.47,155.67,157.4,424821
2024-12-24,157.62,158.92,157.47,158.77,153131
2024-12-26,158.69,159.27,158.26,159.06,539342
2024-12-27,158.18,158.23,156.69,157.6,560728
2024-12-30,156.12,156.83,155.14,156.12,274860
2024-12-31,156.57,156.67,155.2242,155.5,242090
2025-01-02,156.3,156.75,154.27,155.2,1067337
2025-01-03,156.03,157.04,155.62,156.98,272689
2025-01-06,158.07,159.0967,157.56,157.76,432227
2025-01-07,158.67,158.82,156.01,156.41,231952
2025-01-08,156.23,156.79,155.5585,156.43,197924
2025-01-10,155.42,155.57,153.74,154.25,614816
2025-01-13,152.8,154.27,152.76,154.23,515836
2025-01-14,154.85,155.045,153.62,154.43,188935
2025-01-15,156.8,157.4,156.4,157.11,226789
2025-01-16,157.45,157.88,156.87,157.14,394832
2025-01-17,158.43,158.86,158.09,158.4,193740
2025-01-21,159.62,160.32,159.11,160.27,481964
2025-01-22,161.05,161.33,160.82,160.89,226601
2025-01-23,160.9,162.17,160.76,161.87,372352
2025-01-24,162.04,162.36,161.51,161.74,234413
2025-01-27,158.95,160.05,158.85,159.98,792259
2025-01-28,160.22,161.24,159.49,160.93,313408
2025-01-29,160.81,161.075,159.9,160.41,111877
2025-01-30,161.24,162.19,160.8113,161.55,395609
2025-01-31,162.08,162.687,160.53,160.66,265945
2025-02-03,158.01,159.91,157.52,159.37,249221
2025-02-04,159.64,160.7348,159.49,160.64,122341
2025-02-05,160.56,161.58,160.315,161.55,248232
2025-02-06,162,162.16,161.4,162.06,151471
2025-02-07,162.35,162.55,160.5524,160.6,225042
2025-02-10,161.62,161.9,161.325,161.68,372832
2025-02-11,161.34,162.13,161.31,161.97,221061
2025-02-12,160.51,162.06,160.38,161.83,210869
2025-02-13,162.26,163.62,161.95,163.55,186746
2025-02-14,163.9,164,163.5,163.56,177580
2025-02-18,164,164.21,163.55,164.09,417866
2025-02-19,163.39,164.095,163.27,164.03,393439
2025-02-20,163.86,163.98,162.85,163.71,178375
2025-02-21,163.6,163.72,161.09,161.28,124355
2025-02-24,161.88,161.97,160.41,160.63,281528
2025-02-25,161.05,161.24,159.34,160.41,188217
2025-02-26,160.9,161.778,159.94,160.51,164782
2025-02-27,160.9,161.02,158,158.06,361327
2025-02-28,158.17,160.09,157.38,160,339446
2025-03-03,161.32,161.55,157.42,158.29,245884
2025-03-04,157.17,159.005,155.29,156.96,509005
2025-03-05,157.38,159.56,156.78,159.24,219487
2025-03-06,157.26,158.54,155.9,156.49,482608
2025-03-07,156.21,157.81,155,157.64,200873
2025-03-10,155.2,155.66,152.15,153.34,338658
2025-03-11,153.18,153.94,151.23,152.43,737319
2025-03-12,153.91,154.11,151.87,153.2,478489
2025-03-13,152.89,153.03,150.87,151.24,386869
2025-03-14,152.73,154.64,152.68,154.46,108857
2025-03-17,154.55,156.41,154.51,155.87,201360
2025-03-18,155.28,155.37,154.0166,154.53,344230
2025-03-19,154.95,156.85,154.58,155.93,323142
2025-03-20,154.58,156.2971,154.56,155.33,676371
2025-03-21,154.23,155.35,153.8411,155.23,404161
2025-03-24,156.6,157.49,156.6,157.42,199644
2025-03-25,157.83,157.97,157.42,157.78,368257
2025-03-26,157.5,157.65,155.44,155.98,138062
2025-03-27,155.43,156.3614,154.99,155.58,331201
2025-03-28,155,155.19,152.64,152.88,222539
2025-03-31,151.06,153.48,150.26,153.18,420645
2025-04-01,152.84,154.05,151.88,153.6,397055
2025-04-02,152.18,155.045,152.06,154.63,146540
2025-04-03,150.14,150.82,148.08,148.28,698643
2025-04-04,143.81,144.25,139.19,139.25,563208
2025-04-07,134.67,143.2,132.93,138.01,1831048
2025-04-08,142.83,143.46,134.59,136.3,955011
2025-04-09,135.83,149.31,135.57,148.48,833473
2025-04-10,145.36,146.04,140.22,144.1,832373
2025-04-11,143.95,147.32,143.205,146.92,639831
2025-04-14,149.18,149.46,147,148.27,322773
2025-04-15,148.76,149.66,148.14,148.45,390034
2025-04-16,147.19,148.22,144.8,146.04,610786
2025-04-17,146.77,147.8499,146.03,146.67,156955
