date,open,high,low,close,volume
2024-06-20,0.6674,0.667935,0.664775,0.666055,
2024-06-21,0.666065,0.666985,0.663165,0.664085,
2024-06-23,0.664025,0.6642,0.663375,0.66347,
2024-06-24,0.663475,0.666775,0.662625,0.665395,
2024-06-25,0.665405,0.667285,0.66352,0.664445,
2024-06-26,0.66443,0.668885,0.663615,0.664545,
2024-06-27,0.66454,0.667265,0.66401,0.66499,
2024-06-28,0.664995,0.668465,0.661995,0.66699,
2024-06-30,0.6681,0.66817,0.66725,0.667385,
2024-07-01,0.667395,0.668885,0.664405,0.665445,
2024-07-02,0.66544,0.667095,0.663425,0.66687,
2024-07-03,0.666875,0.673385,0.66653,0.671195,
2024-07-04,0.67121,0.673185,0.671025,0.67249,
2024-07-05,0.672495,0.675295,0.67112,0.674885,
2024-07-07,0.674095,0.674945,0.673655,0.674635,
2024-07-08,0.674625,0.676115,0.673195,0.674285,
2024-07-09,0.67429,0.674775,0.672405,0.67417,
2024-07-10,0.674175,0.67522,0.673235,0.675165,
2024-07-11,0.67517,0.679875,0.674735,0.676995,
2024-07-12,0.67699,0.679375,0.675405,0.678425,
2024-07-14,0.67728,0.67789,0.67635,0.677085,
2024-07-15,0.677075,0.678885,0.675265,0.676245,
2024-07-16,0.676235,0.676295,0.671465,0.673185,
2024-07-17,0.673175,0.675485,0.672115,0.673065,
2024-07-18,0.67307,0.67436,0.669775,0.670395,
2024-07-19,0.67039,0.670745,0.66803,0.6685,
2024-07-21,0.669095,0.670235,0.6685,0.669595,
2024-07-22,0.66958,0.669605,0.663145,0.663885,
2024-07-23,0.66387,0.664605,0.661105,0.661205,
2024-07-24,0.6612,0.66133,0.657265,0.65737,
2024-07-25,0.657355,0.65742,0.651445,0.654005,
2024-07-26,0.653995,0.656855,0.653995,0.65474,
2024-07-28,0.654955,0.656065,0.65492,0.655285,
2024-07-29,0.65528,0.65684,0.652415,0.65512,
2024-07-30,0.655115,0.656245,0.65292,0.654035,
2024-07-31,0.654025,0.655575,0.647965,0.65484,
2024-08-01,0.654845,0.656,0.648895,0.649365,
2024-08-02,0.649355,0.654765,0.648685,0.651115,
2024-08-04,0.65135,0.65198,0.649475,0.649785,
2024-08-05,0.64979,0.652255,0.634865,0.651535,
2024-08-06,0.65156,0.654175,0.647245,0.651445,
2024-08-07,0.651455,0.65747,0.650745,0.651845,
2024-08-08,0.651865,0.659475,0.651005,0.659105,
2024-08-09,0.65909,0.660525,0.656675,0.657265,
2024-08-11,0.656945,0.657585,0.656525,0.65688,
2024-08-12,0.656885,0.660515,0.656795,0.658505,
2024-08-13,0.65851,0.663945,0.657915,0.663765,
2024-08-14,0.663755,0.664295,0.659195,0.659765,
2024-08-15,0.659775,0.663475,0.65665,0.66121,
2024-08-16,0.661215,0.667145,0.661025,0.666975,
2024-08-18,0.66672,0.667675,0.666575,0.667265,
2024-08-19,0.667275,0.673825,0.667215,0.67339,
2024-08-20,0.673395,0.67494,0.671325,0.674635,
2024-08-21,0.67464,0.676105,0.673095,0.674955,
2024-08-22,0.674935,0.67528,0.66972,0.670695,
2024-08-23,0.67069,0.679865,0.670505,0.67965,
2024-08-25,0.6792,0.67976,0.678565,0.678745,
2024-08-26,0.678765,0.679645,0.67667,0.6773,
2024-08-27,0.677295,0.679565,0.676175,0.678725,
2024-08-28,0.67873,0.681295,0.676445,0.6783,
2024-08-29,0.678305,0.682405,0.6783,0.679575,
2024-08-30,0.67957,0.68165,0.67516,0.67649,
2024-09-01,0.67662,0.677305,0.67629,0.676815,
2024-09-02,0.67681,0.679495,0.675715,0.67872,
2024-09-03,0.678725,0.679235,0.670715,0.671315,
2024-09-04,0.67134,0.674945,0.668565,0.671595,
2024-09-05,0.67159,0.674225,0.67136,0.67407,
2024-09-06,0.674065,0.676735,0.666,0.667,
2024-09-08,0.66663,0.667445,0.66663,0.666995,
2024-09-09,0.66699,0.668905,0.66479,0.665765,
2024-09-10,0.66576,0.667665,0.664125,0.665315,
2024-09-11,0.66531,0.667945,0.66223,0.667455,
2024-09-12,0.66745,0.672845,0.665675,0.672615,
2024-09-13,0.67261,0.673275,0.669235,0.67052,
2024-09-15,0.67058,0.671405,0.670315,0.671365,
2024-09-16,0.67137,0.67539,0.670595,0.675185,
2024-09-17,0.67518,0.676885,0.674155,0.67605,
2024-09-18,0.676055,0.68204,0.67425,0.6766,
2024-09-19,0.676605,0.683915,0.67377,0.680925,
2024-09-20,0.680935,0.68289,0.67831,0.680695,
2024-09-22,0.68027,0.681105,0.68027,0.681,
2024-09-23,0.680985,0.685375,0.68003,0.683325,
2024-09-24,0.683335,0.69072,0.68143,0.690585,
2024-09-25,0.690595,0.690825,0.68182,0.681905,
2024-09-26,0.681915,0.690485,0.68191,0.689255,
2024-09-27,0.689265,0.69373,0.686825,0.690205,
2024-09-29,0.69055,0.692045,0.68982,0.691865,
2024-09-30,0.691875,0.694245,0.68989,0.69153,
2024-10-01,0.691535,0.693475,0.68566,0.68795,
2024-10-02,0.687945,0.691575,0.687545,0.68843,
2024-10-03,0.688425,0.68862,0.683015,0.68503,
2024-10-04,0.685025,0.685225,0.678565,0.679425,
2024-10-06,0.67909,0.680805,0.679055,0.679775,
2024-10-07,0.67976,0.681045,0.67434,0.675545,
2024-10-08,0.67554,0.67695,0.671515,0.673935,
2024-10-09,0.673945,0.676215,0.670805,0.671625,
2024-10-10,0.67162,0.67439,0.670095,0.674085,
2024-10-11,0.6741,0.675935,0.672495,0.67512,
2024-10-13,0.673875,0.67497,0.67234,0.673045,
2024-10-14,0.67305,0.674505,0.670225,0.672505,
2024-10-15,0.67251,0.67328,0.667345,0.667755,
2024-10-16,0.66775,0.67011,0.665845,0.666475,
2024-10-17,0.666455,0.67105,0.666385,0.669945,
2024-10-18,0.66994,0.671955,0.669425,0.67062,
2024-10-20,0.67055,0.671565,0.67016,0.671385,
2024-10-21,0.671395,0.672345,0.665225,0.66541,
2024-10-22,0.665415,0.669515,0.665095,0.66817,
2024-10-23,0.66816,0.669155,0.661425,0.663455,
2024-10-24,0.663465,0.666145,0.662115,0.663475,
2024-10-25,0.663485,0.664685,0.660125,0.66042,
2024-10-27,0.661285,0.66169,0.660145,0.660295,
2024-10-28,0.66029,0.661035,0.657835,0.658335,
2024-10-29,0.65832,0.658485,0.654515,0.65583,
2024-10-30,0.655835,0.659435,0.653705,0.65726,
2024-10-31,0.657265,0.658435,0.653975,0.657665,
2024-11-01,0.65768,0.65914,0.655395,0.65593,
2024-11-03,0.66117,0.661215,0.6585,0.659095,
2024-11-04,0.65909,0.66112,0.65798,0.658395,
2024-11-05,0.65839,0.664505,0.6579,0.664055,
2024-11-06,0.66406,0.66419,0.65124,0.6567,
2024-11-07,0.656695,0.668785,0.656435,0.667505,
2024-11-08,0.667515,0.66758,0.655845,0.65824,
2024-11-10,0.658005,0.65867,0.65781,0.658415,
2024-11-11,0.65841,0.659835,0.656285,0.65789,
2024-11-12,0.657885,0.658185,0.65142,0.65296,
2024-11-13,0.652965,0.65462,0.648035,0.649385,
2024-11-14,0.64938,0.64959,0.644085,0.645535,
2024-11-15,0.645545,0.648145,0.6443,0.6463,
2024-11-17,0.64637,0.6465,0.64578,0.6465,
2024-11-18,0.646505,0.651135,0.644815,0.650565,
2024-11-19,0.65057,0.654135,0.64825,0.654135,
2024-11-20,0.654145,0.65446,0.648455,0.651185,
2024-11-21,0.651195,0.653255,0.649735,0.650945,
2024-11-22,0.650935,0.652155,0.647135,0.65024,
2024-11-24,0.65344,0.65487,0.652525,0.653955,
2024-11-25,0.65395,0.654995,0.645525,0.646365,
2024-11-26,0.646355,0.650765,0.64341,0.647445,
2024-11-27,0.64745,0.650365,0.646035,0.649685,
2024-11-28,0.649695,0.65095,0.647745,0.6507,
2024-11-29,0.650705,0.652805,0.649595,0.65189,
2024-12-01,0.65125,0.65155,0.6498,0.650185,
2024-12-02,0.65019,0.651105,0.644305,0.647485,
2024-12-03,0.647465,0.65047,0.645545,0.648525,
2024-12-04,0.64852,0.64885,0.639935,0.643165,
2024-12-05,0.64316,0.645595,0.642155,0.645085,
2024-12-06,0.64508,0.645135,0.637275,0.63902,
2024-12-08,0.63924,0.640205,0.63922,0.639955,
